AOIName,FixationDuration,Stimulus,Participant
NT2-L05,283.0,NT2.PNG,P01
NT2-L02,167.0,NT2.PNG,P01
NT2-L01,400.0,NT2.PNG,P01
NT2-L02,233.0,NT2.PNG,P01
NT2-L01,683.0,NT2.PNG,P01
NT2-L02,749.0,NT2.PNG,P01
NT2-L01,100.0,NT2.PNG,P01
NT2-L02,217.0,NT2.PNG,P01
NT2-L01,200.0,NT2.PNG,P01
NT2-L02,334.0,NT2.PNG,P01
NT2-L03,500.0,NT2.PNG,P01
NT2-L02,267.0,NT2.PNG,P01
NT2-L03,183.0,NT2.PNG,P01
NT2-L02,1848.0,NT2.PNG,P01
NT2-L03,2932.0,NT2.PNG,P01
NT2-L04,1266.0,NT2.PNG,P01
NT2-L05,83.0,NT2.PNG,P01
NT2-L04,1767.0,NT2.PNG,P01
NT2-L05,2915.0,NT2.PNG,P01
NT2-L06,2915.0,NT2.PNG,P01
NT2-L07,2848.0,NT2.PNG,P01
NT2-L08,2564.0,NT2.PNG,P01
NT2-L09,749.0,NT2.PNG,P01
NT2-L08,300.0,NT2.PNG,P01
NT2-L09,2849.0,NT2.PNG,P01
NT2-L08,233.0,NT2.PNG,P01
NT2-L09,67.0,NT2.PNG,P01
NT2-L10,217.0,NT2.PNG,P01
NT2-L09,183.0,NT2.PNG,P01
NT2-L05,1282.0,NT2.PNG,P01
NT2-L09,250.0,NT2.PNG,P01
NT2-L04,150.0,NT2.PNG,P01
NT2-L09,450.0,NT2.PNG,P01
NT2-L04,266.0,NT2.PNG,P02
NT2-L03,150.0,NT2.PNG,P02
NT2-L02,4149.0,NT2.PNG,P02
NT2-L03,732.0,NT2.PNG,P02
NT2-L02,383.0,NT2.PNG,P02
NT2-L03,1982.0,NT2.PNG,P02
NT2-L04,2066.0,NT2.PNG,P02
NT2-L05,1683.0,NT2.PNG,P02
NT2-L06,566.0,NT2.PNG,P02
NT2-L05,317.0,NT2.PNG,P02
NT2-L06,1799.0,NT2.PNG,P02
NT2-L07,1299.0,NT2.PNG,P02
NT2-L08,800.0,NT2.PNG,P02
NT2-L07,117.0,NT2.PNG,P02
NT2-L08,599.0,NT2.PNG,P02
NT2-L09,250.0,NT2.PNG,P02
