AOIName,FixationDuration,Stimulus,Participant
SC7-L04,150.0,SC7.PNG,P01
SC7-L03,83.0,SC7.PNG,P01
SC7-L02,883.0,SC7.PNG,P01
SC7-L03,483.0,SC7.PNG,P01
SC7-L02,1016.0,SC7.PNG,P01
SC7-L05,150.0,SC7.PNG,P01
SC7-L06,300.0,SC7.PNG,P01
SC7-L05,516.0,SC7.PNG,P01
SC7-L06,1616.0,SC7.PNG,P01
SC7-L07,283.0,SC7.PNG,P01
SC7-L06,283.0,SC7.PNG,P01
SC7-L07,183.0,SC7.PNG,P01
SC7-L06,233.0,SC7.PNG,P01
SC7-L07,67.0,SC7.PNG,P01
SC7-L06,1217.0,SC7.PNG,P01
SC7-L07,783.0,SC7.PNG,P01
SC7-L08,1532.0,SC7.PNG,P01
SC7-L09,2582.0,SC7.PNG,P01
SC7-L10,200.0,SC7.PNG,P01
SC7-L06,1716.0,SC7.PNG,P01
SC7-L04,217.0,SC7.PNG,P02
SC7-L02,899.0,SC7.PNG,P02
SC7-L06,383.0,SC7.PNG,P02
SC7-L02,333.0,SC7.PNG,P02
SC7-L03,2249.0,SC7.PNG,P02
SC7-L06,283.0,SC7.PNG,P02
SC7-L05,666.0,SC7.PNG,P02
SC7-L06,2614.0,SC7.PNG,P02
SC7-L07,1549.0,SC7.PNG,P02
SC7-L08,167.0,SC7.PNG,P02
SC7-L03,383.0,SC7.PNG,P02
SC7-L04,250.0,SC7.PNG,P02
SC7-L06,350.0,SC7.PNG,P02
SC7-L07,1516.0,SC7.PNG,P02
SC7-L06,334.0,SC7.PNG,P02
SC7-L05,350.0,SC7.PNG,P02
SC7-L06,900.0,SC7.PNG,P02
SC7-L07,150.0,SC7.PNG,P02
SC7-L08,733.0,SC7.PNG,P02
SC7-L09,650.0,SC7.PNG,P02
SC7-L08,533.0,SC7.PNG,P02
SC7-L09,433.0,SC7.PNG,P02
SC7-L08,1132.0,SC7.PNG,P02
SC7-L09,550.0,SC7.PNG,P02
SC7-L08,1532.0,SC7.PNG,P02
SC7-L10,266.0,SC7.PNG,P02
SC7-L09,350.0,SC7.PNG,P02
SC7-L04,133.0,SC7.PNG,P02
SC7-L03,233.0,SC7.PNG,P02
SC7-L07,150.0,SC7.PNG,P02
SC7-L06,550.0,SC7.PNG,P02
SC7-L08,566.0,SC7.PNG,P02
SC7-L09,1616.0,SC7.PNG,P02
SC7-L08,3164.0,SC7.PNG,P02
SC7-L09,833.0,SC7.PNG,P02
SC7-L08,316.0,SC7.PNG,P02
SC7-L09,250.0,SC7.PNG,P02
SC7-L08,7961.0,SC7.PNG,P02
SC7-L09,683.0,SC7.PNG,P02
SC7-L08,799.0,SC7.PNG,P02
SC7-L07,267.0,SC7.PNG,P02
SC7-L05,566.0,SC7.PNG,P02
SC7-L08,832.0,SC7.PNG,P02
SC7-L06,567.0,SC7.PNG,P02
SC7-L09,133.0,SC7.PNG,P02
SC7-L08,2581.0,SC7.PNG,P02
SC7-L05,433.0,SC7.PNG,P02
SC7-L08,150.0,SC7.PNG,P02
SC7-L09,1000.0,SC7.PNG,P02
SC7-L08,266.0,SC7.PNG,P02
SC7-L09,716.0,SC7.PNG,P02
SC7-L08,333.0,SC7.PNG,P02
SC7-L09,566.0,SC7.PNG,P02
SC7-L02,349.0,SC7.PNG,P02_2
SC7-L03,117.0,SC7.PNG,P02_2
SC7-L04,167.0,SC7.PNG,P02_2
SC7-L05,633.0,SC7.PNG,P02_2
SC7-L06,833.0,SC7.PNG,P02_2
SC7-L05,283.0,SC7.PNG,P02_2
SC7-L06,383.0,SC7.PNG,P02_2
SC7-L07,4166.0,SC7.PNG,P02_2
SC7-L05,383.0,SC7.PNG,P02_2
SC7-L06,316.0,SC7.PNG,P02_2
SC7-L07,983.0,SC7.PNG,P02_2
SC7-L08,3164.0,SC7.PNG,P02_2
SC7-L06,717.0,SC7.PNG,P02_2
SC7-L08,2166.0,SC7.PNG,P02_2
SC7-L09,250.0,SC7.PNG,P02_2
SC7-L05,1016.0,SC7.PNG,P02_2
SC7-L06,832.0,SC7.PNG,P02_2
SC7-L05,2348.0,SC7.PNG,P02_2
