AOIName,FixationDuration,Stimulus,Participant
NT4-L03,416.0,NT4.PNG,P01
NT4-L02,449.0,NT4.PNG,P01
NT4-L01,117.0,NT4.PNG,P01
NT4-L02,2364.0,NT4.PNG,P01
NT4-L01,649.0,NT4.PNG,P01
NT4-L02,666.0,NT4.PNG,P01
NT4-L03,367.0,NT4.PNG,P01
NT4-L02,67.0,NT4.PNG,P01
NT4-L03,366.0,NT4.PNG,P01
NT4-L02,183.0,NT4.PNG,P01
NT4-L03,217.0,NT4.PNG,P01
NT4-L02,2532.0,NT4.PNG,P01
NT4-L03,450.0,NT4.PNG,P01
NT4-L04,117.0,NT4.PNG,P01
NT4-L03,1601.0,NT4.PNG,P01
NT4-L04,167.0,NT4.PNG,P01
NT4-L03,1167.0,NT4.PNG,P01
NT4-L04,3982.0,NT4.PNG,P01
NT4-L05,2699.0,NT4.PNG,P01
NT4-L06,250.0,NT4.PNG,P01
NT4-L05,317.0,NT4.PNG,P01
NT4-L06,1867.0,NT4.PNG,P01
NT4-L02,350.0,NT4.PNG,P01
NT4-L03,117.0,NT4.PNG,P02
NT4-L02,1916.0,NT4.PNG,P02
NT4-L03,1732.0,NT4.PNG,P02
NT4-L02,499.0,NT4.PNG,P02
NT4-L03,3481.0,NT4.PNG,P02
NT4-L06,1898.0,NT4.PNG,P02
NT4-L05,1516.0,NT4.PNG,P02
NT4-L06,1133.0,NT4.PNG,P02
NT4-L02,2149.0,NT4.PNG,P02
NT4-L03,666.0,NT4.PNG,P02
NT4-L06,200.0,NT4.PNG,P02
NT4-L03,167.0,NT4.PNG,P02_2
NT4-L02,450.0,NT4.PNG,P02_2
NT4-L01,1550.0,NT4.PNG,P02_2
NT4-L02,1814.0,NT4.PNG,P02_2
NT4-L03,400.0,NT4.PNG,P02_2
NT4-L02,233.0,NT4.PNG,P02_2
NT4-L03,200.0,NT4.PNG,P02_2
NT4-L02,467.0,NT4.PNG,P02_2
NT4-L03,2081.0,NT4.PNG,P02_2
NT4-L04,1982.0,NT4.PNG,P02_2
NT4-L05,1433.0,NT4.PNG,P02_2
NT4-L06,1616.0,NT4.PNG,P02_2
NT4-L01,233.0,NT4.PNG,P02_2
NT4-L02,1466.0,NT4.PNG,P02_2
NT4-L01,3116.0,NT4.PNG,P03
NT4-L03,83.0,NT4.PNG,P03
NT4-L02,1549.0,NT4.PNG,P03
NT4-L01,167.0,NT4.PNG,P03
NT4-L02,1550.0,NT4.PNG,P03
NT4-L03,1733.0,NT4.PNG,P03
NT4-L06,233.0,NT4.PNG,P03
NT4-L05,150.0,NT4.PNG,P03
NT4-L06,67.0,NT4.PNG,P03
NT4-L05,150.0,NT4.PNG,P03
NT4-L06,233.0,NT4.PNG,P03
NT4-L05,334.0,NT4.PNG,P03
NT4-L06,1532.0,NT4.PNG,P03
NT4-L05,117.0,NT4.PNG,P03
NT4-L06,300.0,NT4.PNG,P03
NT4-L05,200.0,NT4.PNG,P03
NT4-L02,216.0,NT4.PNG,P03_2
NT4-L01,400.0,NT4.PNG,P03_2
NT4-L02,183.0,NT4.PNG,P03_2
NT4-L01,267.0,NT4.PNG,P03_2
NT4-L03,334.0,NT4.PNG,P03_2
NT4-L04,333.0,NT4.PNG,P03_2
NT4-L05,83.0,NT4.PNG,P03_2
NT4-L04,83.0,NT4.PNG,P03_2
NT4-L03,117.0,NT4.PNG,P03_2
NT4-L05,333.0,NT4.PNG,P03_2
NT4-L04,466.0,NT4.PNG,P03_2
NT4-L05,117.0,NT4.PNG,P03_2
NT4-L04,100.0,NT4.PNG,P03_2
NT4-L01,150.0,NT4.PNG,P03_2
NT4-L02,100.0,NT4.PNG,P03_2
NT4-L01,916.0,NT4.PNG,P04
NT4-L02,3965.0,NT4.PNG,P04
NT4-L03,183.0,NT4.PNG,P04
NT4-L02,183.0,NT4.PNG,P04
NT4-L03,2382.0,NT4.PNG,P04
NT4-L04,3232.0,NT4.PNG,P04
NT4-L05,1400.0,NT4.PNG,P04
NT4-L06,1000.0,NT4.PNG,P04
NT4-L05,566.0,NT4.PNG,P04
NT4-L02,133.0,NT4.PNG,P04
NT4-L01,566.0,NT4.PNG,P04
NT4-L02,549.0,NT4.PNG,P04
NT4-L03,1649.0,NT4.PNG,P04
NT4-L02,749.0,NT4.PNG,P04
NT4-L03,250.0,NT4.PNG,P04
NT4-L04,1300.0,NT4.PNG,P04
NT4-L05,850.0,NT4.PNG,P04
NT4-L06,750.0,NT4.PNG,P04
NT4-L01,3197.0,NT4.PNG,P05
NT4-L02,3151.0,NT4.PNG,P05
NT4-L03,2484.0,NT4.PNG,P05
NT4-L04,2783.0,NT4.PNG,P05
NT4-L05,1849.0,NT4.PNG,P05
NT4-L06,2349.0,NT4.PNG,P05
NT4-L01,2815.0,NT4.PNG,P05_2
NT4-L02,1483.0,NT4.PNG,P05_2
NT4-L01,133.0,NT4.PNG,P05_2
NT4-L02,517.0,NT4.PNG,P05_2
NT4-L03,2801.0,NT4.PNG,P05_2
NT4-L04,1133.0,NT4.PNG,P05_2
NT4-L03,83.0,NT4.PNG,P05_2
NT4-L04,1433.0,NT4.PNG,P05_2
NT4-L05,1733.0,NT4.PNG,P05_2
NT4-L06,2282.0,NT4.PNG,P05_2
NT4-L03,200.0,NT4.PNG,P06
NT4-L02,133.0,NT4.PNG,P06
NT4-L01,3350.0,NT4.PNG,P06
NT4-L02,4131.0,NT4.PNG,P06
NT4-L03,866.0,NT4.PNG,P06
NT4-L04,250.0,NT4.PNG,P06
NT4-L03,2815.0,NT4.PNG,P06
NT4-L04,3230.0,NT4.PNG,P06
NT4-L05,2931.0,NT4.PNG,P06
NT4-L06,2032.0,NT4.PNG,P06
NT4-L03,200.0,NT4.PNG,P06
NT4-L01,1450.0,NT4.PNG,P06
NT4-L06,350.0,NT4.PNG,P06_2
