AOIName,FixationDuration,Stimulus,Participant
SC5-L06,67.0,SC5.PNG,P01
SC5-L02,100.0,SC5.PNG,P01
SC5-L03,133.0,SC5.PNG,P01
SC5-L04,1849.0,SC5.PNG,P01
SC5-L05,433.0,SC5.PNG,P01
SC5-L06,167.0,SC5.PNG,P01
SC5-L04,366.0,SC5.PNG,P01
SC5-L07,133.0,SC5.PNG,P01
SC5-L06,333.0,SC5.PNG,P01
SC5-L07,550.0,SC5.PNG,P01
SC5-L09,699.0,SC5.PNG,P01
SC5-L12,150.0,SC5.PNG,P01
SC5-L11,950.0,SC5.PNG,P01
SC5-L12,200.0,SC5.PNG,P01
SC5-L15,517.0,SC5.PNG,P01
SC5-L16,250.0,SC5.PNG,P01
SC5-L17,816.0,SC5.PNG,P01
SC5-L19,300.0,SC5.PNG,P01
SC5-L05,267.0,SC5.PNG,P01
SC5-L03,799.0,SC5.PNG,P01
SC5-L06,233.0,SC5.PNG,P02
SC5-L02,333.0,SC5.PNG,P02
SC5-L03,1482.0,SC5.PNG,P02
SC5-L02,350.0,SC5.PNG,P02
SC5-L04,617.0,SC5.PNG,P02
SC5-L05,516.0,SC5.PNG,P02
SC5-L04,233.0,SC5.PNG,P02
SC5-L05,849.0,SC5.PNG,P02
SC5-L06,333.0,SC5.PNG,P02
SC5-L05,700.0,SC5.PNG,P02
SC5-L07,1666.0,SC5.PNG,P02
SC5-L05,233.0,SC5.PNG,P02
SC5-L04,267.0,SC5.PNG,P02
SC5-L05,416.0,SC5.PNG,P02
SC5-L04,649.0,SC5.PNG,P02
SC5-L11,949.0,SC5.PNG,P02
SC5-L12,999.0,SC5.PNG,P02
SC5-L13,200.0,SC5.PNG,P02
SC5-L15,850.0,SC5.PNG,P02
SC5-L16,2715.0,SC5.PNG,P02
SC5-L07,183.0,SC5.PNG,P02
SC5-L05,450.0,SC5.PNG,P02
SC5-L04,400.0,SC5.PNG,P02
SC5-L05,516.0,SC5.PNG,P02
SC5-L16,500.0,SC5.PNG,P02
SC5-L05,283.0,SC5.PNG,P02
SC5-L17,150.0,SC5.PNG,P02
SC5-L15,366.0,SC5.PNG,P02
SC5-L17,2965.0,SC5.PNG,P02
SC5-L11,666.0,SC5.PNG,P02
SC5-L12,500.0,SC5.PNG,P02
SC5-L11,999.0,SC5.PNG,P02
SC5-L16,167.0,SC5.PNG,P02
SC5-L17,666.0,SC5.PNG,P02
SC5-L16,1782.0,SC5.PNG,P02
SC5-L17,350.0,SC5.PNG,P02
SC5-L18,350.0,SC5.PNG,P02
SC5-L06,782.0,SC5.PNG,P02
SC5-L05,2398.0,SC5.PNG,P02
SC5-L07,300.0,SC5.PNG,P02
SC5-L06,316.0,SC5.PNG,P02
SC5-L05,3564.0,SC5.PNG,P02
SC5-L06,4330.0,SC5.PNG,P02
SC5-L07,2113.0,SC5.PNG,P02
SC5-L08,900.0,SC5.PNG,P02
SC5-L07,517.0,SC5.PNG,P02
SC5-L06,183.0,SC5.PNG,P02
SC5-L07,1799.0,SC5.PNG,P02
SC5-L08,266.0,SC5.PNG,P02
SC5-L07,2215.0,SC5.PNG,P02
SC5-L06,1399.0,SC5.PNG,P02
SC5-L07,1848.0,SC5.PNG,P02
SC5-L05,233.0,SC5.PNG,P02_2
SC5-L02,500.0,SC5.PNG,P02_2
SC5-L03,150.0,SC5.PNG,P02_2
SC5-L04,1799.0,SC5.PNG,P02_2
SC5-L05,1216.0,SC5.PNG,P02_2
SC5-L06,450.0,SC5.PNG,P02_2
SC5-L05,266.0,SC5.PNG,P02_2
SC5-L06,999.0,SC5.PNG,P02_2
SC5-L09,316.0,SC5.PNG,P02_2
SC5-L12,150.0,SC5.PNG,P02_2
SC5-L11,466.0,SC5.PNG,P02_2
SC5-L04,316.0,SC5.PNG,P02_2
SC5-L05,1948.0,SC5.PNG,P02_2
SC5-L06,1449.0,SC5.PNG,P02_2
SC5-L05,366.0,SC5.PNG,P02_2
SC5-L06,1432.0,SC5.PNG,P02_2
SC5-L04,233.0,SC5.PNG,P02_2
SC5-L03,417.0,SC5.PNG,P02_2
SC5-L05,1199.0,SC5.PNG,P02_2
SC5-L06,367.0,SC5.PNG,P02_2
SC5-L07,300.0,SC5.PNG,P02_2
SC5-L05,616.0,SC5.PNG,P02_2
SC5-L04,200.0,SC5.PNG,P02_2
SC5-L09,849.0,SC5.PNG,P02_2
SC5-L07,283.0,SC5.PNG,P02_2
SC5-L06,450.0,SC5.PNG,P02_2
SC5-L04,1832.0,SC5.PNG,P02_2
SC5-L11,683.0,SC5.PNG,P02_2
SC5-L12,183.0,SC5.PNG,P02_2
SC5-L15,1733.0,SC5.PNG,P02_2
SC5-L16,2049.0,SC5.PNG,P02_2
SC5-L06,267.0,SC5.PNG,P02_2
SC5-L05,966.0,SC5.PNG,P02_2
SC5-L04,766.0,SC5.PNG,P02_2
SC5-L05,1298.0,SC5.PNG,P02_2
SC5-L06,466.0,SC5.PNG,P02_2
SC5-L16,566.0,SC5.PNG,P02_2
SC5-L17,3015.0,SC5.PNG,P02_2
SC5-L10,167.0,SC5.PNG,P02_2
SC5-L11,1366.0,SC5.PNG,P02_2
SC5-L12,1565.0,SC5.PNG,P02_2
SC5-L11,1532.0,SC5.PNG,P02_2
SC5-L19,117.0,SC5.PNG,P02_2
SC5-L17,400.0,SC5.PNG,P02_2
SC5-L16,2915.0,SC5.PNG,P02_2
SC5-L17,1649.0,SC5.PNG,P02_2
SC5-L12,865.0,SC5.PNG,P02_2
SC5-L13,716.0,SC5.PNG,P02_2
SC5-L16,217.0,SC5.PNG,P02_2
SC5-L06,200.0,SC5.PNG,P02_2
SC5-L05,400.0,SC5.PNG,P02_2
SC5-L06,350.0,SC5.PNG,P02_2
SC5-L07,3829.0,SC5.PNG,P02_2
SC5-L06,233.0,SC5.PNG,P02_2
SC5-L07,767.0,SC5.PNG,P02_2
SC5-L08,250.0,SC5.PNG,P02_2
SC5-L07,516.0,SC5.PNG,P02_2
SC5-L05,383.0,SC5.PNG,P02_2
SC5-L06,283.0,SC5.PNG,P02_2
SC5-L05,1416.0,SC5.PNG,P02_2
SC5-L06,400.0,SC5.PNG,P02_2
SC5-L09,700.0,SC5.PNG,P02_2
SC5-L07,250.0,SC5.PNG,P02_2
SC5-L12,400.0,SC5.PNG,P02_2
SC5-L11,516.0,SC5.PNG,P02_2
SC5-L12,934.0,SC5.PNG,P02_2
SC5-L13,683.0,SC5.PNG,P02_2
SC5-L12,266.0,SC5.PNG,P02_2
SC5-L13,233.0,SC5.PNG,P02_2
SC5-L16,1116.0,SC5.PNG,P02_2
