AOIName,FixationDuration,Stimulus,Participant
SC6-L04,450.0,SC6.PNG,P01
SC6-L05,167.0,SC6.PNG,P01
SC6-L04,333.0,SC6.PNG,P01
SC6-L03,367.0,SC6.PNG,P01
SC6-L04,733.0,SC6.PNG,P01
SC6-L03,666.0,SC6.PNG,P01
SC6-L04,1316.0,SC6.PNG,P01
SC6-L05,1382.0,SC6.PNG,P01
SC6-L06,617.0,SC6.PNG,P01
SC6-L07,666.0,SC6.PNG,P01
SC6-L09,616.0,SC6.PNG,P01
SC6-L10,233.0,SC6.PNG,P01
SC6-L11,316.0,SC6.PNG,P01
SC6-L13,499.0,SC6.PNG,P01
SC6-L15,250.0,SC6.PNG,P01
SC6-L16,699.0,SC6.PNG,P01
SC6-L18,2265.0,SC6.PNG,P01
SC6-L22,899.0,SC6.PNG,P01
SC6-L23,83.0,SC6.PNG,P01
SC6-L22,1132.0,SC6.PNG,P01
SC6-L23,866.0,SC6.PNG,P01
SC6-L11,233.0,SC6.PNG,P01
SC6-L12,233.0,SC6.PNG,P01
SC6-L13,200.0,SC6.PNG,P01
SC6-L04,200.0,SC6.PNG,P01
SC6-L03,750.0,SC6.PNG,P01
SC6-L06,667.0,SC6.PNG,P01
SC6-L07,766.0,SC6.PNG,P01
SC6-L09,350.0,SC6.PNG,P01
SC6-L12,250.0,SC6.PNG,P01
SC6-L11,200.0,SC6.PNG,P01
SC6-L12,416.0,SC6.PNG,P01
SC6-L13,466.0,SC6.PNG,P01
SC6-L17,333.0,SC6.PNG,P01
SC6-L18,233.0,SC6.PNG,P01
SC6-L19,183.0,SC6.PNG,P01
SC6-L18,183.0,SC6.PNG,P01
SC6-L19,333.0,SC6.PNG,P01
SC6-L18,266.0,SC6.PNG,P01
SC6-L16,316.0,SC6.PNG,P01
SC6-L18,533.0,SC6.PNG,P01
SC6-L19,433.0,SC6.PNG,P01
SC6-L22,167.0,SC6.PNG,P01
SC6-L23,167.0,SC6.PNG,P01
SC6-L22,133.0,SC6.PNG,P01
SC6-L18,83.0,SC6.PNG,P01
SC6-L12,316.0,SC6.PNG,P02
SC6-L03,932.0,SC6.PNG,P02
SC6-L04,300.0,SC6.PNG,P02
SC6-L05,467.0,SC6.PNG,P02
SC6-L03,3199.0,SC6.PNG,P02
SC6-L04,3198.0,SC6.PNG,P02
SC6-L05,1016.0,SC6.PNG,P02
SC6-L06,799.0,SC6.PNG,P02
SC6-L07,883.0,SC6.PNG,P02
SC6-L10,532.0,SC6.PNG,P02
